dataset,budget_level,budget_seconds,method,run,seed,best_score,configs_evaluated,time_used
mnist,very_low,60,random_search,2,2,0.9662132740578308,2,59.67274522781372
mnist,very_low,60,random_search,3,3,0.96558309619446,3,92.79954719543456
mnist,very_low,60,random_search,4,4,0.9670461461959023,3,76.59731221199036
mnist,very_low,60,random_search,5,5,0.9682520283115365,1,92.45645713806152
mnist,very_low,60,random_search,6,6,0.973043613323188,3,58.62587904930115
mnist,very_low,60,random_search,7,7,0.965297357875083,3,105.62714982032776
mnist,very_low,60,random_search,8,8,0.968322156501274,2,78.87387132644653
mnist,very_low,60,random_search,9,9,0.9644814123820104,3,60.31802701950073
mnist,very_low,60,sha,0,0,0.9613963319605991,15,66.39242219924927
mnist,very_low,60,sha,1,1,0.9611708495247538,15,64.3179099559784
mnist,very_low,60,sha,2,2,0.9604785007278512,14,60.61721229553223
mnist,very_low,60,sha,3,3,0.9614225673883574,16,60.294501066207886
mnist,very_low,60,sha,4,4,0.9588909961775716,14,63.98375487327576
mnist,very_low,60,sha,5,5,0.9632011504832562,18,68.41610288619995
mnist,very_low,60,sha,6,6,0.96123269238883,15,62.16018605232239
mnist,very_low,60,sha,7,7,0.959959266021011,17,60.122771978378296
mnist,very_low,60,sha,8,8,0.9606364843816736,15,61.96333193778992
mnist,very_low,60,sha,9,9,0.9586777567422486,15,60.36105179786682
mnist,very_low,60,hyperband,0,0,0.9490484666614584,33,61.36953926086426
mnist,very_low,60,hyperband,1,1,0.949623499808192,34,61.14230704307556
mnist,very_low,60,hyperband,2,2,0.9474272894217276,36,60.797998666763306
mnist,very_low,60,hyperband,3,3,0.9508601716719024,33,61.531121253967285
mnist,very_low,60,hyperband,4,4,0.9446501452286352,34,60.55047082901001
mnist,very_low,60,hyperband,5,5,0.9504397773141944,37,61.62859320640564
mnist,very_low,60,hyperband,6,6,0.9517352115678068,34,60.080703020095825
mnist,very_low,60,hyperband,7,7,0.9484488437083723,37,60.756104946136475
mnist,very_low,60,hyperband,8,8,0.9525858320367712,34,60.89198398590088
mnist,very_low,60,hyperband,9,9,0.94828275696079,36,60.63860511779785
mnist,low,120,random_search,0,0,0.9710030830344242,4,124.06333684921265
mnist,low,120,random_search,1,1,0.9665278132035834,1,190.91045880317688
mnist,low,120,random_search,2,2,0.9668359869163404,4,223.9531991481781
mnist,low,120,random_search,3,3,0.9662227546783232,5,165.86629986763
mnist,low,120,random_search,4,4,0.9670461461959023,4,139.12778210639954
mnist,low,120,random_search,5,5,0.9682520283115365,3,137.0920639038086
mnist,low,120,random_search,6,6,0.973043613323188,4,130.45794916152954
mnist,low,120,random_search,7,7,0.965297357875083,4,225.23462390899655
mnist,low,120,random_search,8,8,0.968322156501274,3,115.14950394630432
mnist,low,120,random_search,9,9,0.970401781147066,5,129.60122394561768
mnist,low,120,sha,0,0,0.9651769268695592,28,122.82322716712952
mnist,low,120,sha,1,1,0.9634167546494176,28,122.9313530921936
mnist,low,120,sha,2,2,0.9625194972629932,29,129.58523893356323
mnist,low,120,sha,3,3,0.9614225673883574,28,128.09461879730225
mnist,low,120,sha,4,4,0.9602530527777252,29,123.69396209716795
mnist,low,120,sha,5,5,0.9632011504832562,30,122.06877374649048
mnist,low,120,sha,6,6,0.96123269238883,28,138.2467520236969
mnist,low,120,sha,7,7,0.96277385466897,30,121.3611671924591
mnist,low,120,sha,8,8,0.962584705498618,29,147.7512140274048
mnist,low,120,sha,9,9,0.963300270292066,28,126.97095680236816
mnist,low,120,hyperband,0,0,0.949450969943054,69,121.31351900100708
mnist,low,120,hyperband,1,1,0.949623499808192,70,120.08903193473816
mnist,low,120,hyperband,2,2,0.947448653035424,71,123.28380393981934
mnist,low,120,hyperband,3,3,0.9508601716719024,65,120.52696824073792
mnist,low,120,hyperband,4,4,0.9457000216233832,70,120.47360110282898
mnist,low,120,hyperband,5,5,0.9504397773141944,73,123.10349678993224
mnist,low,120,hyperband,6,6,0.9517352115678068,70,120.29470014572144
mnist,low,120,hyperband,7,7,0.9490854865955716,75,120.31204676628111
mnist,low,120,hyperband,8,8,0.9525858320367712,72,121.201327085495
mnist,low,120,hyperband,9,9,0.94828275696079,72,121.14196395874023
mnist,medium,300,random_search,0,0,0.9710030830344242,6,304.2248339653015
mnist,medium,300,random_search,1,1,0.9717935247953556,4,289.5432541370392
mnist,medium,300,random_search,2,2,0.9668359869163404,6,330.5457270145416
mnist,medium,300,random_search,3,3,0.9662227546783232,7,301.04240107536316
mnist,medium,300,random_search,4,4,0.9670461461959023,7,316.829735994339
mnist,medium,300,random_search,5,5,0.9682520283115365,9,300.28607082366943
mnist,medium,300,random_search,6,6,0.973043613323188,10,324.0618407726288
mnist,medium,300,random_search,7,7,0.9662691241331802,7,292.0007860660553
mnist,medium,300,random_search,8,8,0.9696910221341092,11,378.7286179065704
mnist,medium,300,random_search,9,9,0.970401781147066,11,350.51221108436584
mnist,medium,300,sha,0,0,0.972138430805072,40,300.41768431663513
mnist,medium,300,sha,1,1,0.9679519274724824,38,334.05360102653503
mnist,medium,300,sha,2,2,0.9705694864644324,40,316.1029722690582
mnist,medium,300,sha,3,3,0.9678306414750176,37,314.5828859806061
mnist,medium,300,sha,4,4,0.9709828714008034,39,301.07044291496277
mnist,medium,300,sha,5,5,0.9702331051699922,37,319.14165902137756
mnist,medium,300,sha,6,6,0.9726139949968778,39,319.56684708595276
mnist,medium,300,sha,7,7,0.9729187067722026,39,338.44250679016113
mnist,medium,300,sha,8,8,0.967294521675035,38,324.145592212677
mnist,medium,300,sha,9,9,0.9693228058793524,39,304.3511691093445
mnist,medium,300,hyperband,0,0,0.9660351341738436,112,318.6231138706207
mnist,medium,300,hyperband,1,1,0.9668110409590044,112,308.93300223350525
mnist,medium,300,hyperband,2,2,0.9669618219643868,113,302.69583201408386
mnist,medium,300,hyperband,3,3,0.966932631492696,113,304.47721695899963
mnist,medium,300,hyperband,4,4,0.9659109330288894,113,300.52419209480286
mnist,medium,300,hyperband,5,5,0.9674977781834572,111,315.6782178878784
mnist,medium,300,hyperband,6,6,0.9681180222679504,114,307.7647831439972
mnist,medium,300,hyperband,7,7,0.9681353062146544,115,311.02462577819824
mnist,medium,300,hyperband,8,8,0.9660678124650658,111,326.02260994911194
mnist,medium,300,hyperband,9,9,0.968763306328257,116,313.4672348499298
mnist,high,600,random_search,0,0,0.9710030830344242,10,583.0468978881836
mnist,high,600,random_search,1,1,0.9717935247953556,13,646.0185289382935
mnist,high,600,random_search,2,2,0.9705694864644324,13,619.7639558315277
mnist,high,600,random_search,3,3,0.9716493107711084,12,591.3799970149994
mnist,high,600,random_search,4,4,0.9697593289842164,14,620.1457550525665
mnist,high,600,random_search,5,5,0.970351591200394,18,652.2604260444641
mnist,high,600,random_search,6,6,0.973043613323188,15,647.2921321392059
mnist,high,600,random_search,7,7,0.9709390949160656,17,583.9187409877777
mnist,high,600,random_search,8,8,0.9696910221341092,14,615.3283410072327
mnist,high,600,random_search,9,9,0.970401781147066,15,616.2251608371735
mnist,high,600,sha,0,0,0.972138430805072,40,300.25001978874207
mnist,high,600,sha,1,1,0.9717935247953556,40,426.522864818573
mnist,high,600,sha,2,2,0.9705694864644324,40,315.9438259601593
mnist,high,600,sha,3,3,0.9718944973046532,40,417.09343576431274
mnist,high,600,sha,4,4,0.9710025264847808,40,323.39604091644287
mnist,high,600,sha,5,5,0.9702331051699922,40,580.7316310405731
mnist,high,600,sha,6,6,0.973043613323188,40,359.93738079071045
mnist,high,600,sha,7,7,0.9732147162011164,40,415.3446471691131
mnist,high,600,sha,8,8,0.9708781209629098,40,424.72068190574646
mnist,high,600,sha,9,9,0.9693228058793524,40,322.38110184669495
mnist,high,600,hyperband,0,0,0.972138430805072,150,601.4337027072906
mnist,high,600,hyperband,1,1,0.9714395647428544,134,611.6820242404938
mnist,high,600,hyperband,2,2,0.9712032091958216,163,600.9254040718079
mnist,high,600,hyperband,3,3,0.9718944973046532,140,604.6772410869598
mnist,high,600,hyperband,4,4,0.97050631143061,125,604.2947490215302
mnist,high,600,hyperband,5,5,0.970968797850257,120,625.2660210132599
mnist,high,600,hyperband,6,6,0.9734997422421428,122,601.1281838417053
mnist,high,600,hyperband,7,7,0.9732147162011164,140,604.8845481872559
mnist,high,600,hyperband,8,8,0.9711127167420708,129,601.1276359558105
mnist,high,600,hyperband,9,9,0.9720568878000178,155,605.1441478729248
letter,very_low,60,random_search,0,0,0.958551402941418,6,63.60525822639465
letter,very_low,60,random_search,1,1,0.9564703137565924,4,59.55168604850769
letter,very_low,60,random_search,2,2,0.9533175329311678,6,66.74465107917786
letter,very_low,60,random_search,3,3,0.9452642378984736,6,65.29577207565308
letter,very_low,60,random_search,4,4,0.9536115678237128,6,76.26826000213623
letter,very_low,60,random_search,5,5,0.9588779381943208,5,57.7829749584198
letter,very_low,60,random_search,6,6,0.957316209630962,10,67.46961402893066
letter,very_low,60,random_search,7,7,0.9526070481505556,11,63.12145686149597
letter,very_low,60,random_search,8,8,0.9551146193714884,10,61.84771990776062
letter,very_low,60,random_search,9,9,0.9602265982540444,9,60.45980906486511
letter,very_low,60,sha,0,0,0.9637342805386744,40,65.61909294128418
letter,very_low,60,sha,1,1,0.9573851332619756,40,44.06064200401306
letter,very_low,60,sha,2,2,0.9532232291657294,40,35.033458948135376
letter,very_low,60,sha,3,3,0.948251206818998,40,63.830138206481934
letter,very_low,60,sha,4,4,0.9509456671835632,40,43.66345715522766
letter,very_low,60,sha,5,5,0.9511691518244746,40,75.15311694145203
letter,very_low,60,sha,6,6,0.957316209630962,40,63.16002607345581
letter,very_low,60,sha,7,7,0.950590984134197,40,52.93974328041077
letter,very_low,60,sha,8,8,0.9546906068979274,40,71.48799204826355
letter,very_low,60,sha,9,9,0.9552640345899238,40,44.756990909576416
letter,very_low,60,hyperband,0,0,0.9586459508710498,120,60.01314306259155
letter,very_low,60,hyperband,1,1,0.9612002166027462,119,63.7523877620697
letter,very_low,60,hyperband,2,2,0.9532232291657294,121,62.656928062438965
letter,very_low,60,hyperband,3,3,0.9536721402830648,119,60.98208165168762
letter,very_low,60,hyperband,4,4,0.952962993385452,120,61.60222506523132
letter,very_low,60,hyperband,5,5,0.950983746029056,120,62.01267409324646
letter,very_low,60,hyperband,6,6,0.957666731878708,131,60.04085922241211
letter,very_low,60,hyperband,7,7,0.9492199927818148,118,63.47974705696106
letter,very_low,60,hyperband,8,8,0.9510819514600888,118,60.19880890846253
letter,very_low,60,hyperband,9,9,0.9552640345899238,127,60.00460433959961
letter,low,120,random_search,0,0,0.958551402941418,10,121.79737091064452
letter,low,120,random_search,1,1,0.9573851332619756,11,126.8477063179016
letter,low,120,random_search,2,2,0.9533175329311678,11,118.40826272964478
letter,low,120,random_search,3,3,0.9516173561415572,11,116.39418005943298
letter,low,120,random_search,4,4,0.954984911469157,11,121.29874086380003
letter,low,120,random_search,5,5,0.9588779381943208,10,121.19516396522522
letter,low,120,random_search,6,6,0.957316209630962,13,116.29701924324036
letter,low,120,random_search,7,7,0.9526070481505556,18,116.9888927936554
